origin_station,destination,time
Taipan,Wangsa Maju,66
Wawasan,Wangsa Maju,69
USJ 21,Wangsa Maju,71
Alam Megah,Wangsa Maju,74
Subang Alam,Wangsa Maju,77
Putra Heights (KJL),Wangsa Maju,81
Sungai Buloh,Wangsa Maju,56
Kampung Selamat,Wangsa Maju,53
Kwasa Damansara,Wangsa Maju,48
Kwasa Sentral,Wangsa Maju,46
Kota Damansara,Wangsa Maju,42
Surian,Wangsa Maju,40
Mutiara Damansara,Wangsa Maju,38
Bandar Utama,Wangsa Maju,36
TTDI,Wangsa Maju,32
Phileo Damansara,Wangsa Maju,28
Pusat Bandar Damansara,Wangsa Maju,57
Semantan,Wangsa Maju,54
Muzium Negara,Wangsa Maju,49
Pasar Seni (SBK),Wangsa Maju,47
Merdeka,Wangsa Maju,43
Bukit Bintang,Wangsa Maju,41
Tun Razak Exchange (TRX),Wangsa Maju,39
Cochrane,Wangsa Maju,37
Maluri (SBK),Wangsa Maju,33
Taman Pertama,Wangsa Maju,29
Taman Midah,Wangsa Maju,58
Taman Mutiara,Wangsa Maju,55
Taman Connaught,Wangsa Maju,50
Taman Suntex,Wangsa Maju,48
Sri Raya,Wangsa Maju,44
Bandar Tun Hussein Onn,Wangsa Maju,42
Batu 11 Cheras,Wangsa Maju,40
Bukit Dukung,Wangsa Maju,38
Sungai Jernih,Wangsa Maju,34
Stadium Kajang,Wangsa Maju,30
Kajang,Wangsa Maju,59
Gombak,Sri Rampai,9
Taman Melati,Sri Rampai,6
Wangsa Maju,Sri Rampai,2
Sri Rampai,Sri Rampai,0
Setiawangsa,Sri Rampai,6
Jelatek,Sri Rampai,8
Dato' Keramat,Sri Rampai,9
Damai,Sri Rampai,10
Ampang Park,Sri Rampai,12
KLCC,Sri Rampai,13
Kampung Baru,Sri Rampai,15
Dang Wangi,Sri Rampai,17
Masjid Jamek (KJL),Sri Rampai,19
Pasar Seni (KJL),Sri Rampai,20
KL Sentral (KJL),Sri Rampai,23
Bangsar,Sri Rampai,25
Abdullah Hukum,Sri Rampai,28
Kerinchi,Sri Rampai,29
Universiti,Sri Rampai,31
Taman Jaya,Sri Rampai,35
Asia Jaya,Sri Rampai,37
Taman Paramount,Sri Rampai,40
Taman Bahagia,Sri Rampai,43
Kelana Jaya,Sri Rampai,45
Lembah Subang,Sri Rampai,48
Ara Damansara,Sri Rampai,50
Glenmarie,Sri Rampai,53
Subang Jaya,Sri Rampai,54
SS 15,Sri Rampai,58
SS 18,Sri Rampai,60
USJ 7 (KJL),Sri Rampai,63
Taipan,Sri Rampai,64
Wawasan,Sri Rampai,67
USJ 21,Sri Rampai,69
Alam Megah,Sri Rampai,72
Subang Alam,Sri Rampai,75
Putra Heights (KJL),Sri Rampai,79
Sungai Buloh,Sri Rampai,54
Kampung Selamat,Sri Rampai,51
Kwasa Damansara,Sri Rampai,46
Kwasa Sentral,Sri Rampai,44
Kota Damansara,Sri Rampai,40
Surian,Sri Rampai,38
Mutiara Damansara,Sri Rampai,36
Bandar Utama,Sri Rampai,34
TTDI,Sri Rampai,30
Phileo Damansara,Sri Rampai,26
Pusat Bandar Damansara,Sri Rampai,55
Semantan,Sri Rampai,52
Muzium Negara,Sri Rampai,47
Pasar Seni (SBK),Sri Rampai,45
Merdeka,Sri Rampai,41
Bukit Bintang,Sri Rampai,39
Tun Razak Exchange (TRX),Sri Rampai,37
Cochrane,Sri Rampai,35
Maluri (SBK),Sri Rampai,31
Taman Pertama,Sri Rampai,27
Taman Midah,Sri Rampai,56
Taman Mutiara,Sri Rampai,53
Taman Connaught,Sri Rampai,48
Taman Suntex,Sri Rampai,46
Sri Raya,Sri Rampai,42
Bandar Tun Hussein Onn,Sri Rampai,40
Batu 11 Cheras,Sri Rampai,38
Bukit Dukung,Sri Rampai,36
Sungai Jernih,Sri Rampai,32
Stadium Kajang,Sri Rampai,28
Kajang,Sri Rampai,57
Gombak,Setiawangsa,15
Taman Melati,Setiawangsa,12
Wangsa Maju,Setiawangsa,8
Sri Rampai,Setiawangsa,6
Setiawangsa,Setiawangsa,0
Jelatek,Setiawangsa,2
Dato' Keramat,Setiawangsa,3
Damai,Setiawangsa,4
Ampang Park,Setiawangsa,6
KLCC,Setiawangsa,7
Kampung Baru,Setiawangsa,9
Dang Wangi,Setiawangsa,11
Masjid Jamek (KJL),Setiawangsa,13
Pasar Seni (KJL),Setiawangsa,14
KL Sentral (KJL),Setiawangsa,17
Bangsar,Setiawangsa,19
Abdullah Hukum,Setiawangsa,22
Kerinchi,Setiawangsa,23
Universiti,Setiawangsa,25
Taman Jaya,Setiawangsa,29
Asia Jaya,Setiawangsa,31
Taman Paramount,Setiawangsa,34
Taman Bahagia,Setiawangsa,37
Kelana Jaya,Setiawangsa,39
Lembah Subang,Setiawangsa,42
Ara Damansara,Setiawangsa,44
Glenmarie,Setiawangsa,47
Subang Jaya,Setiawangsa,48
SS 15,Setiawangsa,52
SS 18,Setiawangsa,54
USJ 7 (KJL),Setiawangsa,57
Taipan,Setiawangsa,58
Wawasan,Setiawangsa,61
USJ 21,Setiawangsa,63
Alam Megah,Setiawangsa,66
Subang Alam,Setiawangsa,69
Putra Heights (KJL),Setiawangsa,73
Sungai Buloh,Setiawangsa,51
Kampung Selamat,Setiawangsa,48
Kwasa Damansara,Setiawangsa,43
Kwasa Sentral,Setiawangsa,41
Kota Damansara,Setiawangsa,37
Surian,Setiawangsa,35
Mutiara Damansara,Setiawangsa,33
Bandar Utama,Setiawangsa,31
TTDI,Setiawangsa,27
Phileo Damansara,Setiawangsa,23
Pusat Bandar Damansara,Setiawangsa,52
Semantan,Setiawangsa,49
Muzium Negara,Setiawangsa,44
Pasar Seni (SBK),Setiawangsa,42
Merdeka,Setiawangsa,38
Bukit Bintang,Setiawangsa,36
Tun Razak Exchange (TRX),Setiawangsa,34
Cochrane,Setiawangsa,32
Maluri (SBK),Setiawangsa,28
Taman Pertama,Setiawangsa,24
Taman Midah,Setiawangsa,53
Taman Mutiara,Setiawangsa,50
Taman Connaught,Setiawangsa,45
Taman Suntex,Setiawangsa,43
Sri Raya,Setiawangsa,39
Bandar Tun Hussein Onn,Setiawangsa,37
Batu 11 Cheras,Setiawangsa,35
Bukit Dukung,Setiawangsa,33
Sungai Jernih,Setiawangsa,29
Stadium Kajang,Setiawangsa,25
Kajang,Setiawangsa,54
Gombak,Jelatek,17
Taman Melati,Jelatek,14
Wangsa Maju,Jelatek,10
Sri Rampai,Jelatek,8
Setiawangsa,Jelatek,2
Jelatek,Jelatek,0
Dato' Keramat,Jelatek,1
Damai,Jelatek,2
Ampang Park,Jelatek,4
KLCC,Jelatek,5
Kampung Baru,Jelatek,7
Dang Wangi,Jelatek,9
Masjid Jamek (KJL),Jelatek,11
Pasar Seni (KJL),Jelatek,12
KL Sentral (KJL),Jelatek,15
Bangsar,Jelatek,17
Abdullah Hukum,Jelatek,20
Kerinchi,Jelatek,21
Universiti,Jelatek,23
Taman Jaya,Jelatek,27
Asia Jaya,Jelatek,29
Taman Paramount,Jelatek,32
Taman Bahagia,Jelatek,35
Kelana Jaya,Jelatek,37
Lembah Subang,Jelatek,40
Ara Damansara,Jelatek,42
Glenmarie,Jelatek,45
Subang Jaya,Jelatek,46
SS 15,Jelatek,50
SS 18,Jelatek,52
USJ 7 (KJL),Jelatek,55
Taipan,Jelatek,56
Wawasan,Jelatek,59
USJ 21,Jelatek,61
Alam Megah,Jelatek,64
Subang Alam,Jelatek,67
Putra Heights (KJL),Jelatek,71
Sungai Buloh,Jelatek,49
Kampung Selamat,Jelatek,46
Kwasa Damansara,Jelatek,41
Kwasa Sentral,Jelatek,39
Kota Damansara,Jelatek,35
Surian,Jelatek,33
Mutiara Damansara,Jelatek,31
Bandar Utama,Jelatek,29
TTDI,Jelatek,25
Phileo Damansara,Jelatek,21
Pusat Bandar Damansara,Jelatek,50
Semantan,Jelatek,47
Muzium Negara,Jelatek,42
Pasar Seni (SBK),Jelatek,40
Merdeka,Jelatek,36
Bukit Bintang,Jelatek,34
Tun Razak Exchange (TRX),Jelatek,32
Cochrane,Jelatek,30
Maluri (SBK),Jelatek,26
Taman Pertama,Jelatek,22
Taman Midah,Jelatek,51
Taman Mutiara,Jelatek,48
Taman Connaught,Jelatek,43
Taman Suntex,Jelatek,41
Sri Raya,Jelatek,37
Bandar Tun Hussein Onn,Jelatek,35
Batu 11 Cheras,Jelatek,33
Bukit Dukung,Jelatek,31
Sungai Jernih,Jelatek,27
Stadium Kajang,Jelatek,23
Kajang,Jelatek,52
Gombak,Dato' Keramat,18
Taman Melati,Dato' Keramat,15
Wangsa Maju,Dato' Keramat,11
Sri Rampai,Dato' Keramat,9
Setiawangsa,Dato' Keramat,3
Jelatek,Dato' Keramat,1
Dato' Keramat,Dato' Keramat,0
Damai,Dato' Keramat,1
Ampang Park,Dato' Keramat,3
KLCC,Dato' Keramat,4
Kampung Baru,Dato' Keramat,6
Dang Wangi,Dato' Keramat,8
Masjid Jamek (KJL),Dato' Keramat,10
Pasar Seni (KJL),Dato' Keramat,11
KL Sentral (KJL),Dato' Keramat,14
Bangsar,Dato' Keramat,16
Abdullah Hukum,Dato' Keramat,19
Kerinchi,Dato' Keramat,20
Universiti,Dato' Keramat,22
Taman Jaya,Dato' Keramat,26
Asia Jaya,Dato' Keramat,28
Taman Paramount,Dato' Keramat,31
Taman Bahagia,Dato' Keramat,34
Kelana Jaya,Dato' Keramat,36
