origin_station,destination,time
Stadium Kajang,Dang Wangi,12
Kajang,Dang Wangi,41
Gombak,Masjid Jamek (KJL),28
Taman Melati,Masjid Jamek (KJL),25
Wangsa Maju,Masjid Jamek (KJL),21
Sri Rampai,Masjid Jamek (KJL),19
Setiawangsa,Masjid Jamek (KJL),13
Jelatek,Masjid Jamek (KJL),11
Dato' Keramat,Masjid Jamek (KJL),10
Damai,Masjid Jamek (KJL),9
Ampang Park,Masjid Jamek (KJL),7
KLCC,Masjid Jamek (KJL),6
Kampung Baru,Masjid Jamek (KJL),4
Dang Wangi,Masjid Jamek (KJL),2
Masjid Jamek (KJL),Masjid Jamek (KJL),0
Pasar Seni (KJL),Masjid Jamek (KJL),1
KL Sentral (KJL),Masjid Jamek (KJL),4
Bangsar,Masjid Jamek (KJL),6
Abdullah Hukum,Masjid Jamek (KJL),9
Kerinchi,Masjid Jamek (KJL),10
Universiti,Masjid Jamek (KJL),12
Taman Jaya,Masjid Jamek (KJL),16
Asia Jaya,Masjid Jamek (KJL),18
Taman Paramount,Masjid Jamek (KJL),21
Taman Bahagia,Masjid Jamek (KJL),24
Kelana Jaya,Masjid Jamek (KJL),26
Lembah Subang,Masjid Jamek (KJL),29
Ara Damansara,Masjid Jamek (KJL),31
Glenmarie,Masjid Jamek (KJL),34
Subang Jaya,Masjid Jamek (KJL),35
SS 15,Masjid Jamek (KJL),39
SS 18,Masjid Jamek (KJL),41
USJ 7 (KJL),Masjid Jamek (KJL),44
Taipan,Masjid Jamek (KJL),45
Wawasan,Masjid Jamek (KJL),48
USJ 21,Masjid Jamek (KJL),50
Alam Megah,Masjid Jamek (KJL),53
Subang Alam,Masjid Jamek (KJL),56
Putra Heights (KJL),Masjid Jamek (KJL),60
Sungai Buloh,Masjid Jamek (KJL),35
Kampung Selamat,Masjid Jamek (KJL),32
Kwasa Damansara,Masjid Jamek (KJL),27
Kwasa Sentral,Masjid Jamek (KJL),25
Kota Damansara,Masjid Jamek (KJL),21
Surian,Masjid Jamek (KJL),19
Mutiara Damansara,Masjid Jamek (KJL),17
Bandar Utama,Masjid Jamek (KJL),15
TTDI,Masjid Jamek (KJL),11
Phileo Damansara,Masjid Jamek (KJL),7
Pusat Bandar Damansara,Masjid Jamek (KJL),36
Semantan,Masjid Jamek (KJL),33
Muzium Negara,Masjid Jamek (KJL),28
Pasar Seni (SBK),Masjid Jamek (KJL),26
Merdeka,Masjid Jamek (KJL),22
Bukit Bintang,Masjid Jamek (KJL),20
Tun Razak Exchange (TRX),Masjid Jamek (KJL),18
Cochrane,Masjid Jamek (KJL),16
Maluri (SBK),Masjid Jamek (KJL),12
Taman Pertama,Masjid Jamek (KJL),8
Taman Midah,Masjid Jamek (KJL),37
Taman Mutiara,Masjid Jamek (KJL),34
Taman Connaught,Masjid Jamek (KJL),29
Taman Suntex,Masjid Jamek (KJL),27
Sri Raya,Masjid Jamek (KJL),23
Bandar Tun Hussein Onn,Masjid Jamek (KJL),21
Batu 11 Cheras,Masjid Jamek (KJL),19
Bukit Dukung,Masjid Jamek (KJL),17
Sungai Jernih,Masjid Jamek (KJL),13
Stadium Kajang,Masjid Jamek (KJL),9
Kajang,Masjid Jamek (KJL),38
Gombak,Pasar Seni (KJL),29
Taman Melati,Pasar Seni (KJL),26
Wangsa Maju,Pasar Seni (KJL),22
Sri Rampai,Pasar Seni (KJL),20
Setiawangsa,Pasar Seni (KJL),14
Jelatek,Pasar Seni (KJL),12
Dato' Keramat,Pasar Seni (KJL),11
Damai,Pasar Seni (KJL),10
Ampang Park,Pasar Seni (KJL),8
KLCC,Pasar Seni (KJL),7
Kampung Baru,Pasar Seni (KJL),5
Dang Wangi,Pasar Seni (KJL),3
Masjid Jamek (KJL),Pasar Seni (KJL),1
Pasar Seni (KJL),Pasar Seni (KJL),0
KL Sentral (KJL),Pasar Seni (KJL),3
Bangsar,Pasar Seni (KJL),5
Abdullah Hukum,Pasar Seni (KJL),8
Kerinchi,Pasar Seni (KJL),9
Universiti,Pasar Seni (KJL),11
Taman Jaya,Pasar Seni (KJL),15
Asia Jaya,Pasar Seni (KJL),17
Taman Paramount,Pasar Seni (KJL),20
Taman Bahagia,Pasar Seni (KJL),23
Kelana Jaya,Pasar Seni (KJL),25
Lembah Subang,Pasar Seni (KJL),28
Ara Damansara,Pasar Seni (KJL),30
Glenmarie,Pasar Seni (KJL),33
Subang Jaya,Pasar Seni (KJL),34
SS 15,Pasar Seni (KJL),38
SS 18,Pasar Seni (KJL),40
USJ 7 (KJL),Pasar Seni (KJL),43
Taipan,Pasar Seni (KJL),44
Wawasan,Pasar Seni (KJL),47
USJ 21,Pasar Seni (KJL),49
Alam Megah,Pasar Seni (KJL),52
Subang Alam,Pasar Seni (KJL),55
Putra Heights (KJL),Pasar Seni (KJL),59
Sungai Buloh,Pasar Seni (KJL),33
Kampung Selamat,Pasar Seni (KJL),30
Kwasa Damansara,Pasar Seni (KJL),25
Kwasa Sentral,Pasar Seni (KJL),23
Kota Damansara,Pasar Seni (KJL),19
Surian,Pasar Seni (KJL),17
Mutiara Damansara,Pasar Seni (KJL),15
Bandar Utama,Pasar Seni (KJL),13
TTDI,Pasar Seni (KJL),9
Phileo Damansara,Pasar Seni (KJL),5
Pusat Bandar Damansara,Pasar Seni (KJL),34
Semantan,Pasar Seni (KJL),31
Muzium Negara,Pasar Seni (KJL),26
Pasar Seni (SBK),Pasar Seni (KJL),24
Merdeka,Pasar Seni (KJL),20
Bukit Bintang,Pasar Seni (KJL),18
Tun Razak Exchange (TRX),Pasar Seni (KJL),16
Cochrane,Pasar Seni (KJL),14
Maluri (SBK),Pasar Seni (KJL),10
Taman Pertama,Pasar Seni (KJL),6
Taman Midah,Pasar Seni (KJL),35
Taman Mutiara,Pasar Seni (KJL),32
Taman Connaught,Pasar Seni (KJL),27
Taman Suntex,Pasar Seni (KJL),25
Sri Raya,Pasar Seni (KJL),21
Bandar Tun Hussein Onn,Pasar Seni (KJL),19
Batu 11 Cheras,Pasar Seni (KJL),17
Bukit Dukung,Pasar Seni (KJL),15
Sungai Jernih,Pasar Seni (KJL),11
Stadium Kajang,Pasar Seni (KJL),7
Kajang,Pasar Seni (KJL),36
Gombak,KL Sentral (KJL),32
Taman Melati,KL Sentral (KJL),29
Wangsa Maju,KL Sentral (KJL),25
Sri Rampai,KL Sentral (KJL),23
Setiawangsa,KL Sentral (KJL),17
Jelatek,KL Sentral (KJL),15
Dato' Keramat,KL Sentral (KJL),14
Damai,KL Sentral (KJL),13
Ampang Park,KL Sentral (KJL),11
KLCC,KL Sentral (KJL),10
Kampung Baru,KL Sentral (KJL),8
Dang Wangi,KL Sentral (KJL),6
Masjid Jamek (KJL),KL Sentral (KJL),4
Pasar Seni (KJL),KL Sentral (KJL),3
KL Sentral (KJL),KL Sentral (KJL),0
Bangsar,KL Sentral (KJL),2
Abdullah Hukum,KL Sentral (KJL),5
Kerinchi,KL Sentral (KJL),6
Universiti,KL Sentral (KJL),8
Taman Jaya,KL Sentral (KJL),12
Asia Jaya,KL Sentral (KJL),14
Taman Paramount,KL Sentral (KJL),17
Taman Bahagia,KL Sentral (KJL),20
Kelana Jaya,KL Sentral (KJL),22
Lembah Subang,KL Sentral (KJL),25
Ara Damansara,KL Sentral (KJL),27
Glenmarie,KL Sentral (KJL),30
Subang Jaya,KL Sentral (KJL),31
SS 15,KL Sentral (KJL),35
SS 18,KL Sentral (KJL),37
USJ 7 (KJL),KL Sentral (KJL),40
Taipan,KL Sentral (KJL),41
Wawasan,KL Sentral (KJL),44
USJ 21,KL Sentral (KJL),46
Alam Megah,KL Sentral (KJL),49
Subang Alam,KL Sentral (KJL),52
Putra Heights (KJL),KL Sentral (KJL),56
Sungai Buloh,KL Sentral (KJL),36
Kampung Selamat,KL Sentral (KJL),33
Kwasa Damansara,KL Sentral (KJL),28
Kwasa Sentral,KL Sentral (KJL),26
Kota Damansara,KL Sentral (KJL),22
Surian,KL Sentral (KJL),20
Mutiara Damansara,KL Sentral (KJL),18
Bandar Utama,KL Sentral (KJL),16
TTDI,KL Sentral (KJL),12
Phileo Damansara,KL Sentral (KJL),8
Pusat Bandar Damansara,KL Sentral (KJL),37
Semantan,KL Sentral (KJL),34
Muzium Negara,KL Sentral (KJL),29
Pasar Seni (SBK),KL Sentral (KJL),27
Merdeka,KL Sentral (KJL),23
Bukit Bintang,KL Sentral (KJL),21
Tun Razak Exchange (TRX),KL Sentral (KJL),19
Cochrane,KL Sentral (KJL),17
Maluri (SBK),KL Sentral (KJL),13
Taman Pertama,KL Sentral (KJL),9
Taman Midah,KL Sentral (KJL),38
Taman Mutiara,KL Sentral (KJL),35
Taman Connaught,KL Sentral (KJL),30
Taman Suntex,KL Sentral (KJL),28
Sri Raya,KL Sentral (KJL),24
Bandar Tun Hussein Onn,KL Sentral (KJL),22
Batu 11 Cheras,KL Sentral (KJL),20
Bukit Dukung,KL Sentral (KJL),18
Sungai Jernih,KL Sentral (KJL),14
Stadium Kajang,KL Sentral (KJL),10
Kajang,KL Sentral (KJL),39
Gombak,Bangsar,34
Taman Melati,Bangsar,31
Wangsa Maju,Bangsar,27
Sri Rampai,Bangsar,25
Setiawangsa,Bangsar,19
Jelatek,Bangsar,17
Dato' Keramat,Bangsar,16
Damai,Bangsar,15
Ampang Park,Bangsar,13
KLCC,Bangsar,12
Kampung Baru,Bangsar,10
Dang Wangi,Bangsar,8
Masjid Jamek (KJL),Bangsar,6
Pasar Seni (KJL),Bangsar,5
KL Sentral (KJL),Bangsar,2
Bangsar,Bangsar,0
Abdullah Hukum,Bangsar,3
Kerinchi,Bangsar,4
Universiti,Bangsar,6
Taman Jaya,Bangsar,10
Asia Jaya,Bangsar,12
Taman Paramount,Bangsar,15
Taman Bahagia,Bangsar,18
Kelana Jaya,Bangsar,20
Lembah Subang,Bangsar,23
Ara Damansara,Bangsar,25
Glenmarie,Bangsar,28
Subang Jaya,Bangsar,29
SS 15,Bangsar,33
SS 18,Bangsar,35
USJ 7 (KJL),Bangsar,38
Taipan,Bangsar,39
Wawasan,Bangsar,42
USJ 21,Bangsar,44
Alam Megah,Bangsar,47
Subang Alam,Bangsar,50
Putra Heights (KJL),Bangsar,54
Sungai Buloh,Bangsar,38
Kampung Selamat,Bangsar,35
Kwasa Damansara,Bangsar,30
Kwasa Sentral,Bangsar,28
Kota Damansara,Bangsar,24
Surian,Bangsar,22
Mutiara Damansara,Bangsar,20
Bandar Utama,Bangsar,18
TTDI,Bangsar,14
Phileo Damansara,Bangsar,10
Pusat Bandar Damansara,Bangsar,39
Semantan,Bangsar,36
Muzium Negara,Bangsar,31
Pasar Seni (SBK),Bangsar,29
Merdeka,Bangsar,25
Bukit Bintang,Bangsar,23
Tun Razak Exchange (TRX),Bangsar,21
Cochrane,Bangsar,19
Maluri (SBK),Bangsar,15
Taman Pertama,Bangsar,11
Taman Midah,Bangsar,40
Taman Mutiara,Bangsar,37
Taman Connaught,Bangsar,32
Taman Suntex,Bangsar,30
Sri Raya,Bangsar,26
Bandar Tun Hussein Onn,Bangsar,24
Batu 11 Cheras,Bangsar,22
Bukit Dukung,Bangsar,20
Sungai Jernih,Bangsar,16
Stadium Kajang,Bangsar,12
Kajang,Bangsar,41
Gombak,Abdullah Hukum,37
Taman Melati,Abdullah Hukum,34
Wangsa Maju,Abdullah Hukum,30
Sri Rampai,Abdullah Hukum,28
Setiawangsa,Abdullah Hukum,22
Jelatek,Abdullah Hukum,20
Dato' Keramat,Abdullah Hukum,19
Damai,Abdullah Hukum,18
Ampang Park,Abdullah Hukum,16
KLCC,Abdullah Hukum,15
Kampung Baru,Abdullah Hukum,13
Dang Wangi,Abdullah Hukum,11
Masjid Jamek (KJL),Abdullah Hukum,9
Pasar Seni (KJL),Abdullah Hukum,8
KL Sentral (KJL),Abdullah Hukum,5
Bangsar,Abdullah Hukum,3
Abdullah Hukum,Abdullah Hukum,0
Kerinchi,Abdullah Hukum,1
Universiti,Abdullah Hukum,3
Taman Jaya,Abdullah Hukum,7
Asia Jaya,Abdullah Hukum,9
Taman Paramount,Abdullah Hukum,12
Taman Bahagia,Abdullah Hukum,15
Kelana Jaya,Abdullah Hukum,17
Lembah Subang,Abdullah Hukum,20
Ara Damansara,Abdullah Hukum,22
Glenmarie,Abdullah Hukum,25
Subang Jaya,Abdullah Hukum,26
SS 15,Abdullah Hukum,30
SS 18,Abdullah Hukum,32
USJ 7 (KJL),Abdullah Hukum,35
Taipan,Abdullah Hukum,36
Wawasan,Abdullah Hukum,39
USJ 21,Abdullah Hukum,41
Alam Megah,Abdullah Hukum,44
Subang Alam,Abdullah Hukum,47
Putra Heights (KJL),Abdullah Hukum,51
Sungai Buloh,Abdullah Hukum,41
Kampung Selamat,Abdullah Hukum,38
Kwasa Damansara,Abdullah Hukum,33
Kwasa Sentral,Abdullah Hukum,31
Kota Damansara,Abdullah Hukum,27
Surian,Abdullah Hukum,25
Mutiara Damansara,Abdullah Hukum,23
Bandar Utama,Abdullah Hukum,21
TTDI,Abdullah Hukum,17
Phileo Damansara,Abdullah Hukum,13
Pusat Bandar Damansara,Abdullah Hukum,42
Semantan,Abdullah Hukum,39
Muzium Negara,Abdullah Hukum,34
Pasar Seni (SBK),Abdullah Hukum,32
Merdeka,Abdullah Hukum,28
Bukit Bintang,Abdullah Hukum,26
Tun Razak Exchange (TRX),Abdullah Hukum,24
Cochrane,Abdullah Hukum,22
Maluri (SBK),Abdullah Hukum,18
Taman Pertama,Abdullah Hukum,14
Taman Midah,Abdullah Hukum,43
Taman Mutiara,Abdullah Hukum,40
Taman Connaught,Abdullah Hukum,35
Taman Suntex,Abdullah Hukum,33
Sri Raya,Abdullah Hukum,29
Bandar Tun Hussein Onn,Abdullah Hukum,27
Batu 11 Cheras,Abdullah Hukum,25
Bukit Dukung,Abdullah Hukum,23
Sungai Jernih,Abdullah Hukum,19
Stadium Kajang,Abdullah Hukum,15
Kajang,Abdullah Hukum,44
Gombak,Kerinchi,38
Taman Melati,Kerinchi,35
Wangsa Maju,Kerinchi,31
Sri Rampai,Kerinchi,29
Setiawangsa,Kerinchi,23
Jelatek,Kerinchi,21
Dato' Keramat,Kerinchi,20
Damai,Kerinchi,19
Ampang Park,Kerinchi,17
KLCC,Kerinchi,16
Kampung Baru,Kerinchi,14
Dang Wangi,Kerinchi,12
Masjid Jamek (KJL),Kerinchi,10
Pasar Seni (KJL),Kerinchi,9
KL Sentral (KJL),Kerinchi,6
Bangsar,Kerinchi,4
Abdullah Hukum,Kerinchi,1
Kerinchi,Kerinchi,0
Universiti,Kerinchi,2
Taman Jaya,Kerinchi,6
Asia Jaya,Kerinchi,8
Taman Paramount,Kerinchi,11
Taman Bahagia,Kerinchi,14
Kelana Jaya,Kerinchi,16
Lembah Subang,Kerinchi,19
Ara Damansara,Kerinchi,21
Glenmarie,Kerinchi,24
Subang Jaya,Kerinchi,25
SS 15,Kerinchi,29
SS 18,Kerinchi,31
USJ 7 (KJL),Kerinchi,34
Taipan,Kerinchi,35
Wawasan,Kerinchi,38
USJ 21,Kerinchi,40
Alam Megah,Kerinchi,43
Subang Alam,Kerinchi,46
Putra Heights (KJL),Kerinchi,50
Sungai Buloh,Kerinchi,42
Kampung Selamat,Kerinchi,39
Kwasa Damansara,Kerinchi,34
Kwasa Sentral,Kerinchi,32
Kota Damansara,Kerinchi,28
Surian,Kerinchi,26
Mutiara Damansara,Kerinchi,24
Bandar Utama,Kerinchi,22
TTDI,Kerinchi,18
Phileo Damansara,Kerinchi,14
Pusat Bandar Damansara,Kerinchi,43
Semantan,Kerinchi,40
Muzium Negara,Kerinchi,35
Pasar Seni (SBK),Kerinchi,33
Merdeka,Kerinchi,29
Bukit Bintang,Kerinchi,27
Tun Razak Exchange (TRX),Kerinchi,25
Cochrane,Kerinchi,23
Maluri (SBK),Kerinchi,19
Taman Pertama,Kerinchi,15
Taman Midah,Kerinchi,44
Taman Mutiara,Kerinchi,41
Taman Connaught,Kerinchi,36
Taman Suntex,Kerinchi,34
Sri Raya,Kerinchi,30
Bandar Tun Hussein Onn,Kerinchi,28
Batu 11 Cheras,Kerinchi,26
Bukit Dukung,Kerinchi,24
Sungai Jernih,Kerinchi,20
Stadium Kajang,Kerinchi,16
Kajang,Kerinchi,45
Gombak,Universiti,40
Taman Melati,Universiti,37
Wangsa Maju,Universiti,33
Sri Rampai,Universiti,31
Setiawangsa,Universiti,25
Jelatek,Universiti,23
Dato' Keramat,Universiti,22
Damai,Universiti,21
Ampang Park,Universiti,19
KLCC,Universiti,18
Kampung Baru,Universiti,16
Dang Wangi,Universiti,14
Masjid Jamek (KJL),Universiti,12
Pasar Seni (KJL),Universiti,11
KL Sentral (KJL),Universiti,8
Bangsar,Universiti,6
Abdullah Hukum,Universiti,3
Kerinchi,Universiti,2
Universiti,Universiti,0
Taman Jaya,Universiti,4
Asia Jaya,Universiti,6
Taman Paramount,Universiti,9
Taman Bahagia,Universiti,12
Kelana Jaya,Universiti,14
Lembah Subang,Universiti,17
Ara Damansara,Universiti,19
Glenmarie,Universiti,22
Subang Jaya,Universiti,23
SS 15,Universiti,27
SS 18,Universiti,29
USJ 7 (KJL),Universiti,32
Taipan,Universiti,33
Wawasan,Universiti,36
USJ 21,Universiti,38
Alam Megah,Universiti,41
Subang Alam,Universiti,44
Putra Heights (KJL),Universiti,48
Sungai Buloh,Universiti,44
Kampung Selamat,Universiti,41
Kwasa Damansara,Universiti,36
Kwasa Sentral,Universiti,34
Kota Damansara,Universiti,30
Surian,Universiti,28
Mutiara Damansara,Universiti,26
Bandar Utama,Universiti,24
TTDI,Universiti,20
Phileo Damansara,Universiti,16
Pusat Bandar Damansara,Universiti,45
Semantan,Universiti,42
Muzium Negara,Universiti,37
Pasar Seni (SBK),Universiti,35
Merdeka,Universiti,31
Bukit Bintang,Universiti,29
Tun Razak Exchange (TRX),Universiti,27
Cochrane,Universiti,25
Maluri (SBK),Universiti,21
Taman Pertama,Universiti,17
Taman Midah,Universiti,46
Taman Mutiara,Universiti,43
Taman Connaught,Universiti,38
Taman Suntex,Universiti,36
Sri Raya,Universiti,32
Bandar Tun Hussein Onn,Universiti,30
Batu 11 Cheras,Universiti,28
Bukit Dukung,Universiti,26
Sungai Jernih,Universiti,22
Stadium Kajang,Universiti,18
Kajang,Universiti,47
Gombak,Taman Jaya,44
Taman Melati,Taman Jaya,41
Wangsa Maju,Taman Jaya,37
Sri Rampai,Taman Jaya,35
Setiawangsa,Taman Jaya,29
Jelatek,Taman Jaya,27
Dato' Keramat,Taman Jaya,26
Damai,Taman Jaya,25
Ampang Park,Taman Jaya,23
KLCC,Taman Jaya,22
Kampung Baru,Taman Jaya,20
Dang Wangi,Taman Jaya,18
Masjid Jamek (KJL),Taman Jaya,16
Pasar Seni (KJL),Taman Jaya,15
KL Sentral (KJL),Taman Jaya,12
Bangsar,Taman Jaya,10
Abdullah Hukum,Taman Jaya,7
Kerinchi,Taman Jaya,6
Universiti,Taman Jaya,4
Taman Jaya,Taman Jaya,0
Asia Jaya,Taman Jaya,2
Taman Paramount,Taman Jaya,5
Taman Bahagia,Taman Jaya,8
Kelana Jaya,Taman Jaya,10
Lembah Subang,Taman Jaya,13
Ara Damansara,Taman Jaya,15
Glenmarie,Taman Jaya,18
Subang Jaya,Taman Jaya,19
SS 15,Taman Jaya,23
SS 18,Taman Jaya,25
USJ 7 (KJL),Taman Jaya,28
Taipan,Taman Jaya,29
Wawasan,Taman Jaya,32
USJ 21,Taman Jaya,34
Alam Megah,Taman Jaya,37
Subang Alam,Taman Jaya,40
Putra Heights (KJL),Taman Jaya,44
Sungai Buloh,Taman Jaya,48
Kampung Selamat,Taman Jaya,45
Kwasa Damansara,Taman Jaya,40
Kwasa Sentral,Taman Jaya,38
Kota Damansara,Taman Jaya,34
Surian,Taman Jaya,32
Mutiara Damansara,Taman Jaya,30
Bandar Utama,Taman Jaya,28
TTDI,Taman Jaya,24
Phileo Damansara,Taman Jaya,20
Pusat Bandar Damansara,Taman Jaya,49
Semantan,Taman Jaya,46
Muzium Negara,Taman Jaya,41
Pasar Seni (SBK),Taman Jaya,39
Merdeka,Taman Jaya,35
Bukit Bintang,Taman Jaya,33
Tun Razak Exchange (TRX),Taman Jaya,31
Cochrane,Taman Jaya,29
Maluri (SBK),Taman Jaya,25
Taman Pertama,Taman Jaya,21
Taman Midah,Taman Jaya,50
Taman Mutiara,Taman Jaya,47
Taman Connaught,Taman Jaya,42
Taman Suntex,Taman Jaya,40
Sri Raya,Taman Jaya,36
Bandar Tun Hussein Onn,Taman Jaya,34
Batu 11 Cheras,Taman Jaya,32
Bukit Dukung,Taman Jaya,30
Sungai Jernih,Taman Jaya,26
Stadium Kajang,Taman Jaya,22
Kajang,Taman Jaya,51
Gombak,Asia Jaya,46
Taman Melati,Asia Jaya,43
Wangsa Maju,Asia Jaya,39
Sri Rampai,Asia Jaya,37
Setiawangsa,Asia Jaya,31
Jelatek,Asia Jaya,29
Dato' Keramat,Asia Jaya,28
Damai,Asia Jaya,27
Ampang Park,Asia Jaya,25
KLCC,Asia Jaya,24
Kampung Baru,Asia Jaya,22
Dang Wangi,Asia Jaya,20
Masjid Jamek (KJL),Asia Jaya,18
Pasar Seni (KJL),Asia Jaya,17
KL Sentral (KJL),Asia Jaya,14
Bangsar,Asia Jaya,12
Abdullah Hukum,Asia Jaya,9
Kerinchi,Asia Jaya,8
Universiti,Asia Jaya,6
Taman Jaya,Asia Jaya,2
Asia Jaya,Asia Jaya,0
Taman Paramount,Asia Jaya,3
Taman Bahagia,Asia Jaya,6
Kelana Jaya,Asia Jaya,8
Lembah Subang,Asia Jaya,11
Ara Damansara,Asia Jaya,13
Glenmarie,Asia Jaya,16
Subang Jaya,Asia Jaya,17
SS 15,Asia Jaya,21
SS 18,Asia Jaya,23
USJ 7 (KJL),Asia Jaya,26
Taipan,Asia Jaya,27
Wawasan,Asia Jaya,30
USJ 21,Asia Jaya,32
Alam Megah,Asia Jaya,35
Subang Alam,Asia Jaya,38
Putra Heights (KJL),Asia Jaya,42
Sungai Buloh,Asia Jaya,50
Kampung Selamat,Asia Jaya,47
Kwasa Damansara,Asia Jaya,42
Kwasa Sentral,Asia Jaya,40
Kota Damansara,Asia Jaya,36
Surian,Asia Jaya,34
Mutiara Damansara,Asia Jaya,32
Bandar Utama,Asia Jaya,30
TTDI,Asia Jaya,26
Phileo Damansara,Asia Jaya,22
Pusat Bandar Damansara,Asia Jaya,51
Semantan,Asia Jaya,48
Muzium Negara,Asia Jaya,43
Pasar Seni (SBK),Asia Jaya,41
Merdeka,Asia Jaya,37
Bukit Bintang,Asia Jaya,35
Tun Razak Exchange (TRX),Asia Jaya,33
Cochrane,Asia Jaya,31
Maluri (SBK),Asia Jaya,27
Taman Pertama,Asia Jaya,23
Taman Midah,Asia Jaya,52
Taman Mutiara,Asia Jaya,49
Taman Connaught,Asia Jaya,44
Taman Suntex,Asia Jaya,42
Sri Raya,Asia Jaya,38
Bandar Tun Hussein Onn,Asia Jaya,36
Batu 11 Cheras,Asia Jaya,34
Bukit Dukung,Asia Jaya,32
Sungai Jernih,Asia Jaya,28
Stadium Kajang,Asia Jaya,24
Kajang,Asia Jaya,53
Gombak,Taman Paramount,49
Taman Melati,Taman Paramount,46
Wangsa Maju,Taman Paramount,42
Sri Rampai,Taman Paramount,40
Setiawangsa,Taman Paramount,34
Jelatek,Taman Paramount,32
Dato' Keramat,Taman Paramount,31
Damai,Taman Paramount,30
Ampang Park,Taman Paramount,28
KLCC,Taman Paramount,27
Kampung Baru,Taman Paramount,25
Dang Wangi,Taman Paramount,23
Masjid Jamek (KJL),Taman Paramount,21
Pasar Seni (KJL),Taman Paramount,20
KL Sentral (KJL),Taman Paramount,17
Bangsar,Taman Paramount,15
Abdullah Hukum,Taman Paramount,12
Kerinchi,Taman Paramount,11
Universiti,Taman Paramount,9
Taman Jaya,Taman Paramount,5
Asia Jaya,Taman Paramount,3
Taman Paramount,Taman Paramount,0
Taman Bahagia,Taman Paramount,3
Kelana Jaya,Taman Paramount,5
Lembah Subang,Taman Paramount,8
Ara Damansara,Taman Paramount,10
Glenmarie,Taman Paramount,13
Subang Jaya,Taman Paramount,14
SS 15,Taman Paramount,18
SS 18,Taman Paramount,20
USJ 7 (KJL),Taman Paramount,23
Taipan,Taman Paramount,24
Wawasan,Taman Paramount,27
USJ 21,Taman Paramount,29
Alam Megah,Taman Paramount,32
Subang Alam,Taman Paramount,35
Putra Heights (KJL),Taman Paramount,39
Sungai Buloh,Taman Paramount,53
Kampung Selamat,Taman Paramount,50
Kwasa Damansara,Taman Paramount,45
Kwasa Sentral,Taman Paramount,43
Kota Damansara,Taman Paramount,39
Surian,Taman Paramount,37
Mutiara Damansara,Taman Paramount,35
Bandar Utama,Taman Paramount,33
TTDI,Taman Paramount,29
Phileo Damansara,Taman Paramount,25
Pusat Bandar Damansara,Taman Paramount,54
Semantan,Taman Paramount,51
Muzium Negara,Taman Paramount,46
Pasar Seni (SBK),Taman Paramount,44
Merdeka,Taman Paramount,40
Bukit Bintang,Taman Paramount,38
Tun Razak Exchange (TRX),Taman Paramount,36
Cochrane,Taman Paramount,34
Maluri (SBK),Taman Paramount,30
Taman Pertama,Taman Paramount,26
Taman Midah,Taman Paramount,55
Taman Mutiara,Taman Paramount,52
Taman Connaught,Taman Paramount,47
Taman Suntex,Taman Paramount,45
Sri Raya,Taman Paramount,41
Bandar Tun Hussein Onn,Taman Paramount,39
Batu 11 Cheras,Taman Paramount,37
Bukit Dukung,Taman Paramount,35
Sungai Jernih,Taman Paramount,31
Stadium Kajang,Taman Paramount,27
Kajang,Taman Paramount,56
Gombak,Taman Bahagia,52
Taman Melati,Taman Bahagia,49
Wangsa Maju,Taman Bahagia,45
Sri Rampai,Taman Bahagia,43
Setiawangsa,Taman Bahagia,37
Jelatek,Taman Bahagia,35
Dato' Keramat,Taman Bahagia,34
Damai,Taman Bahagia,33
Ampang Park,Taman Bahagia,31
KLCC,Taman Bahagia,30
Kampung Baru,Taman Bahagia,28
Dang Wangi,Taman Bahagia,26
Masjid Jamek (KJL),Taman Bahagia,24
Pasar Seni (KJL),Taman Bahagia,23
KL Sentral (KJL),Taman Bahagia,20
Bangsar,Taman Bahagia,18
Abdullah Hukum,Taman Bahagia,15
Kerinchi,Taman Bahagia,14
Universiti,Taman Bahagia,12
Taman Jaya,Taman Bahagia,8
Asia Jaya,Taman Bahagia,6
Taman Paramount,Taman Bahagia,3
Taman Bahagia,Taman Bahagia,0
Kelana Jaya,Taman Bahagia,2
Lembah Subang,Taman Bahagia,5
Ara Damansara,Taman Bahagia,7
Glenmarie,Taman Bahagia,10
Subang Jaya,Taman Bahagia,11
SS 15,Taman Bahagia,15
SS 18,Taman Bahagia,17
USJ 7 (KJL),Taman Bahagia,20
Taipan,Taman Bahagia,21
Wawasan,Taman Bahagia,24
USJ 21,Taman Bahagia,26
Alam Megah,Taman Bahagia,29
Subang Alam,Taman Bahagia,32
Putra Heights (KJL),Taman Bahagia,36
Sungai Buloh,Taman Bahagia,56
Kampung Selamat,Taman Bahagia,53
Kwasa Damansara,Taman Bahagia,48
Kwasa Sentral,Taman Bahagia,46
Kota Damansara,Taman Bahagia,42
Surian,Taman Bahagia,40
Mutiara Damansara,Taman Bahagia,38
Bandar Utama,Taman Bahagia,36
TTDI,Taman Bahagia,32
Phileo Damansara,Taman Bahagia,28
Pusat Bandar Damansara,Taman Bahagia,57
Semantan,Taman Bahagia,54
Muzium Negara,Taman Bahagia,49
Pasar Seni (SBK),Taman Bahagia,47
Merdeka,Taman Bahagia,43
Bukit Bintang,Taman Bahagia,41
Tun Razak Exchange (TRX),Taman Bahagia,39
Cochrane,Taman Bahagia,37
Maluri (SBK),Taman Bahagia,33
